"Airradians_TranscriptID","blastxEval_CvirgTranscriptID","blastxEval_CvirgProteinID","blastxEval_CvirgGeneID","meanLength","blastxEval_CvirgGOterms"
"evm.model.Contig1067.30","XM_022478430.1","LOC111131082","protein lin-52 homolog",112,"GO:0005654;GO:0009058;GO:0032991;GO:0034641"
"evm.model.Contig1067.31","XM_022475320.1","LOC111129161","probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",526,"GO:0005975;GO:0006520;GO:0009056;GO:0016491"
"evm.model.Contig1067.33","XM_022476512.1","LOC111129954","galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1-like",341,"GO:0005575;GO:0006790;GO:0009058;GO:0016757;GO:0044281"
"evm.model.Contig1067.34","XM_022476733.1",NA,NA,NA,NA
"evm.model.Contig1067.35","XM_022473628.1","LOC111128156","WD repeat-containing protein 27-like",903,"GO:0003674"
"evm.model.Contig1067.36","XM_022439011.1","LOC111104850","molybdenum cofactor biosynthesis protein 1-like",379,"GO:0005623;GO:0009058;GO:0032991;GO:0043167;GO:0051186"
"evm.model.Contig1067.37","XM_022464937.1","LOC111122903","cyclic pyranopterin monophosphate synthase, mitochondrial-like",431,"GO:0005840;GO:0008135;GO:0051186"
"evm.model.Contig1067.39","XM_022457342.1","LOC111118051","G patch domain-containing protein 11-like",264,"GO:0003674"
"evm.model.Contig1067.41","XM_022468653.1","LOC111125149","multidrug resistance-associated protein 7-like",1518,"GO:0005575;GO:0016887;GO:0022857;GO:0043167"
"evm.model.Contig1067.42","XM_022468653.1","LOC111125149","multidrug resistance-associated protein 7-like",1518,"GO:0005575;GO:0016887;GO:0022857;GO:0043167"
"evm.model.Contig1067.43","XM_022478875.1","LOC111131388","cysteine sulfinic acid decarboxylase-like",478.5,"GO:0016829;GO:0043167;GO:0044281"
"evm.model.Contig1067.44","XM_022476355.1","LOC111129864","L-2-hydroxyglutarate dehydrogenase, mitochondrial-like",451.5,"GO:0016491"
"evm.model.Contig1067.45.2","XM_022475954.1","LOC111129513","E3 ubiquitin-protein ligase TRIM9-like",719.8,"GO:0005622;GO:0043167"
"evm.model.Contig1067.46","XM_022475509.1",NA,NA,NA,NA
"evm.model.Contig1067.47","XM_022475508.1","LOC111129249","uncharacterized",751.5,"GO:0005198;GO:0007165;GO:0008219;GO:0008283"
"evm.model.Contig1067.48","XM_022473699.1",NA,NA,NA,NA
"evm.model.Contig1067.49","XM_022473563.1","LOC111128107","5-hydroxytryptamine receptor 1D-like",433,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig1067.5","XM_022483710.1","LOC111134566","interferon-induced protein 44-like",468.5,"GO:0043167"
"evm.model.Contig1067.50","XM_022473694.1","LOC111128203","protein YIPF4-like",275,"GO:0005575"
"evm.model.Contig1067.52","XM_022476731.1","LOC111130057","DNA polymerase alpha subunit B-like",618,"GO:0003677;GO:0005622;GO:0009058;GO:0016779;GO:0032991"
"evm.model.Contig1067.6","XM_022476497.1",NA,NA,NA,NA
"evm.model.Contig1067.7","XM_022483710.1","LOC111134566","interferon-induced protein 44-like",468.5,"GO:0043167"
"evm.model.Contig1067.8","XM_022476497.1",NA,NA,NA,NA
"evm.model.Contig1067.9","XM_022476497.1",NA,NA,NA,NA
"evm.model.Contig1068.10","XM_022436370.1","LOC111103246","syntaxin-binding protein 5-like",1287.5,"GO:0003674;GO:0005575;GO:0016192"
"evm.model.Contig1068.11","XM_022436373.1","LOC111103246","syntaxin-binding protein 5-like",1287.5,"GO:0003674;GO:0005575;GO:0016192"
"evm.model.Contig1068.12","XM_022437919.1","LOC111104132","oxygen-dependent coproporphyrinogen-III oxidase-like",392,"GO:0009058;GO:0016491;GO:0034641;GO:0051186"
"evm.model.Contig1068.14.1","XM_022438434.1","LOC111104461","bone morphogenetic protein 1-like",542.5,"GO:0003674"
"evm.model.Contig1068.15","XM_022433097.1","LOC111100920","ankyrin-2-like",725,"GO:0003674;GO:0007165"
"evm.model.Contig1068.17","XM_022487301.1","LOC111136445","alpha-1A adrenergic receptor-like",451,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig1068.18","XM_022438776.1",NA,NA,NA,NA
"evm.model.Contig1068.2","XM_022434498.1",NA,NA,NA,NA
"evm.model.Contig1068.20","XM_022443230.1","LOC111107844","ubiquitin carboxyl-terminal hydrolase 48-like",1084,"GO:0006464;GO:0008233;GO:0009056"
"evm.model.Contig1068.21.1","XM_022436163.1","LOC111103124","ubiquitin carboxyl-terminal hydrolase 16-like",518,"GO:0006464;GO:0008233;GO:0009056"
"evm.model.Contig1068.22","XM_022438415.1","LOC111104450","ubiquitin carboxyl-terminal hydrolase 17-like protein E",283.5,"GO:0006464;GO:0008233;GO:0009056"
"evm.model.Contig1068.3","XM_022480477.1","LOC111132648","transcription cofactor vestigial-like protein 2",266,"GO:0005634;GO:0009058;GO:0034641"
"evm.model.Contig1068.31","XM_022439955.1","LOC111105594","uncharacterized",963,"GO:0005575;GO:0006464;GO:0016301;GO:0043167"
"evm.model.Contig1068.32","XM_022435073.1",NA,NA,NA,NA
"evm.model.Contig1068.33","XM_022484790.1","LOC111135078","uncharacterized",691,"GO:0003674"
"evm.model.Contig1068.38","XM_022437643.1","LOC111103975","transcription initiation factor TFIID subunit 12-like",157,"GO:0003674;GO:0005654;GO:0009058;GO:0032991;GO:0034641"
"evm.model.Contig1068.39","XM_022435499.1",NA,NA,NA,NA
"evm.model.Contig1068.4","XM_022431440.1","LOC111099925","transcription cofactor vestigial-like protein 2",266,"GO:0005634;GO:0009058;GO:0034641"
"evm.model.Contig1068.40","XM_022435532.1",NA,NA,NA,NA
"evm.model.Contig1068.41","XM_022446477.1","LOC111110117","caveolin-1-like",128,"GO:0007009;GO:0022607"
"evm.model.Contig1068.42","XM_022437408.1","LOC111103855","BTB/POZ domain-containing protein 10-like",444,"GO:0003674"
"evm.model.Contig1068.43","XM_022487225.1","LOC111136401","adenosine receptor A3-like",331,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig1068.47","XM_022449614.1","LOC111112212","uncharacterized",749,"GO:0003674"
"evm.model.Contig1068.49","XM_022439847.1","LOC111105509","runt-related transcription factor 1-like",554.571428571429,"GO:0003677;GO:0003700;GO:0005634;GO:0009058;GO:0032991;GO:0034641;GO:0043167"
"evm.model.Contig1068.5","XM_022431436.1","LOC111099922","HIV Tat-specific factor 1-like",486,"GO:0003674;GO:0006397"
"evm.model.Contig1068.6","XR_002636972.1",NA,NA,NA,NA
"evm.model.Contig1068.7","XM_022439671.1","LOC111105394","palmitoleoyl-protein carboxylesterase notum1-like",582,"GO:0003674"
"evm.model.Contig1069.1","XM_022478947.1","LOC111131429","caveolin-1-like",129,"GO:0007009;GO:0022607"
"evm.model.Contig1069.4","XM_022456027.1","LOC111116971","ras-related protein Rab-11A",216,"GO:0003924;GO:0043167"
"evm.model.Contig1069.6","XM_022455649.1",NA,NA,NA,NA
"evm.model.Contig1069.7","XM_022456810.1","LOC111117650","GA-binding protein subunit beta-1-like",503.4,"GO:0003674"
"evm.model.Contig1069.8","XM_022464795.1","LOC111122814","uncharacterized",673,"GO:0043167"
"evm.model.Contig107.100","XM_022461749.1",NA,NA,NA,NA
"evm.model.Contig107.102","XM_022459004.1","LOC111119145","uncharacterized",1323,"GO:0043167"
"evm.model.Contig107.103","XM_022459004.1","LOC111119145","uncharacterized",1323,"GO:0043167"
"evm.model.Contig107.105","XM_022485953.1",NA,NA,NA,NA
"evm.model.Contig107.106","XM_022448253.1","LOC111111339","membrane progestin receptor beta-like",330,"GO:0005575"
"evm.model.Contig107.107","XM_022448253.1","LOC111111339","membrane progestin receptor beta-like",330,"GO:0005575"
"evm.model.Contig107.108","XM_022448253.1","LOC111111339","membrane progestin receptor beta-like",330,"GO:0005575"
"evm.model.Contig107.109","XM_022450243.1","LOC111112622","asparagine synthetase [glutamine-hydrolyzing]-like",551,"GO:0006520;GO:0009058;GO:0016874;GO:0034641"
"evm.model.Contig107.111","XM_022458638.1","LOC111118923","copper transporter 2-like",173,"GO:0005575;GO:0022857"
"evm.model.Contig107.115","XM_022459766.1","LOC111119533","disabled homolog 1-like",855.75,"GO:0003674;GO:0008150"
"evm.model.Contig107.116","XM_022434321.1",NA,NA,NA,NA
"evm.model.Contig107.120.1","XM_022434321.1",NA,NA,NA,NA
"evm.model.Contig107.121","XM_022459991.1","LOC111119625","DNA-binding protein RFX2-like",1000,"GO:0003677;GO:0003700;GO:0005622;GO:0009058;GO:0032991;GO:0034641"
"evm.model.Contig107.122","XM_022457444.1",NA,NA,NA,NA
"evm.model.Contig107.127","XM_022464055.1","LOC111122334","dystrobrevin beta-like",825,"GO:0043167"
"evm.model.Contig107.128","XM_022463744.1","LOC111122154","uncharacterized",476,"GO:0008233"
"evm.model.Contig107.129","XM_022461387.1","LOC111120579","methyltransferase-like protein 7A",249,"GO:0008168"
"evm.model.Contig107.13","XM_022431474.1","LOC111099945","citrate lyase subunit beta-like protein, mitochondrial",338,"GO:0003674"
"evm.model.Contig107.130","XM_022460866.1","LOC111120138","transcription factor AP-1-like",287,"GO:0003677;GO:0003700;GO:0005634;GO:0009058;GO:0032991;GO:0034641"
"evm.model.Contig107.131","XM_022460858.1","LOC111120137","mutS protein homolog 5-like",816.142857142857,"GO:0003677;GO:0006259;GO:0006950;GO:0043167"
"evm.model.Contig107.132","XM_022457247.1","LOC111117988","cytosolic carboxypeptidase 6-like",518,"GO:0008233;GO:0043167"
"evm.model.Contig107.133","XM_022457248.1","LOC111117989","ELAV-like protein 1",404,"GO:0003723"
"evm.model.Contig107.139","XM_022458431.1",NA,NA,NA,NA
"evm.model.Contig107.140.2","XM_022457607.1","LOC111118249","1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon-like",367,"GO:0016746"
"evm.model.Contig107.141","XM_022482557.1",NA,NA,NA,NA
"evm.model.Contig107.142","XM_022458067.1","LOC111118548","uncharacterized",477,"GO:0007165;GO:0016491;GO:0042592"
"evm.model.Contig107.143","XM_022464160.1","LOC111122390","E3 ubiquitin-protein ligase rnf146-like",333,"GO:0007165;GO:0007267;GO:0043167"
"evm.model.Contig107.144","XM_022457310.1","LOC111118029","eukaryotic translation initiation factor 3 subunit E-like",438,"GO:0005840;GO:0008135"
"evm.model.Contig107.145","XM_022457246.1",NA,NA,NA,NA
"evm.model.Contig107.147","XM_022457968.1","LOC111118468","putative IQ motif and ankyrin repeat domain-containing protein",585,"GO:0003674"
"evm.model.Contig107.148","XM_022458210.1",NA,NA,NA,NA
"evm.model.Contig107.150","XM_022461827.1","LOC111120835","transmembrane 9 superfamily member 4-like",627,"GO:0005575"
"evm.model.Contig107.151","XM_022461827.1","LOC111120835","transmembrane 9 superfamily member 4-like",627,"GO:0005575"
"evm.model.Contig107.152","XM_022458026.1","LOC111118510","40S ribosomal protein S20",118,"GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0042254"
"evm.model.Contig107.153","XM_022461804.1","LOC111120820","vacuolar protein sorting-associated protein 72 homolog",320,"GO:0005634;GO:0009058;GO:0034641;GO:0051276"
"evm.model.Contig107.154","XM_022469361.1",NA,NA,NA,NA
"evm.model.Contig107.16.1","XM_022430944.1",NA,NA,NA,NA
"evm.model.Contig107.22","XM_022480329.1",NA,NA,NA,NA
"evm.model.Contig107.23","XM_022441479.1",NA,NA,NA,NA
"evm.model.Contig107.24","XM_022444169.1","LOC111108354","RING1 and YY1-binding protein-like",204,"GO:0009058;GO:0034641"
"evm.model.Contig107.27.1","XM_022446744.1","LOC111110307","cholesterol 7-alpha-monooxygenase-like",490,"GO:0016491;GO:0043167"
"evm.model.Contig107.34","XM_022451594.1","LOC111113363","sodium- and chloride-dependent GABA transporter 2-like",634.5,"GO:0005575;GO:0022857"
"evm.model.Contig107.35","XR_002638460.1",NA,NA,NA,NA
"evm.model.Contig107.40","XM_022430572.1","LOC111099168","fatty acid synthase-like",1838,"GO:0003674;GO:0009058"
"evm.model.Contig107.42","XM_022483615.1",NA,NA,NA,NA
"evm.model.Contig107.43","XM_022487307.1","LOC111136449","membrane-bound transcription factor site-1 protease-like",1019.75,"GO:0008233"
"evm.model.Contig107.45","XM_022487312.1","LOC111136451","putative tyrosinase-like protein tyr-3",469,"GO:0016491"
"evm.model.Contig107.46","XM_022458700.1",NA,NA,NA,NA
"evm.model.Contig107.47","XM_022483790.1","LOC111134613","cytochrome P450 1A5-like",500,"GO:0016491;GO:0043167"
"evm.model.Contig107.48","XM_022483993.1","LOC111134701","uncharacterized",2273,"GO:0003674"
"evm.model.Contig107.49","XM_022431463.1","LOC111099932","exostosin-1a-like",725,"GO:0005575;GO:0006464;GO:0009058;GO:0016757"
"evm.model.Contig107.50","XM_022432634.1",NA,NA,NA,NA
"evm.model.Contig107.54","XM_022442271.1",NA,NA,NA,NA
"evm.model.Contig107.55","XM_022442271.1",NA,NA,NA,NA
"evm.model.Contig107.57","XM_022463207.1","LOC111121778","probable chitinase 10",970,"GO:0005576;GO:0005975;GO:0016798"
"evm.model.Contig107.58","XM_022472509.1",NA,NA,NA,NA
"evm.model.Contig107.59","XM_022480309.1","LOC111132495","NADPH oxidoreductase A-like",612.666666666667,"GO:0016491;GO:0043167"
"evm.model.Contig107.60","XM_022434096.1","LOC111101291","dnaJ homolog subfamily C member 27-like",268,"GO:0003924;GO:0043167"
"evm.model.Contig107.62","XM_022469514.1","LOC111125544","sodium-dependent phosphate transporter 1-A-like",561.333333333333,"GO:0005575;GO:0022857"
"evm.model.Contig107.63","XM_022489051.1","LOC111137556","zinc metalloproteinase nas-13-like",479,"GO:0008233;GO:0043167"
"evm.model.Contig107.64","XM_022480148.1","LOC111132344","uncharacterized",1046,"GO:0005575;GO:0008233;GO:0022857;GO:0043167"
"evm.model.Contig107.68","XM_022450296.1","LOC111112640","excitatory amino acid transporter 3-like",517,"GO:0005575;GO:0022857"
"evm.model.Contig107.69","XM_022464298.1","LOC111122517","calmodulin-4-like",238,"GO:0043167"
"evm.model.Contig107.70","XM_022462206.1","LOC111121081","uncharacterized",721,"GO:0005575"
"evm.model.Contig107.72","XM_022458481.1",NA,NA,NA,NA
"evm.model.Contig107.75.2","XM_022464215.1","LOC111122423","eyes absent homolog 2-like",643,"GO:0006464;GO:0006520;GO:0016791;GO:0048856"
"evm.model.Contig107.76","XM_022486381.1","LOC111135911","myoferlin-like",2107,"GO:0005575"
"evm.model.Contig107.79_evm.model.Contig107.80","XM_022457803.1","LOC111118379","contactin-associated protein-like 5",1969.64285714286,"GO:0043167"
"evm.model.Contig107.8","XM_022437979.1","LOC111104174","POU domain, class 3, transcription factor 4-like",416,"GO:0003677;GO:0003700;GO:0005622;GO:0009058;GO:0032991;GO:0034641"
"evm.model.Contig107.82","XM_022458808.1","LOC111119019","peroxidasin-like",1343.66666666667,"GO:0006950;GO:0016491"
"evm.model.Contig107.84","XM_022458156.1","LOC111118606","inactive tyrosine-protein kinase transmembrane receptor ROR1-like",1040,"GO:0005575;GO:0006464;GO:0007165;GO:0016301;GO:0043167"
"evm.model.Contig107.86","XM_022459091.1",NA,NA,NA,NA
"evm.model.Contig107.87","XM_022463247.1",NA,NA,NA,NA
"evm.model.Contig107.88","XM_022458705.1","LOC111118971","AP-1 complex subunit mu-1",422,"GO:0005737;GO:0016192;GO:0032991"
"evm.model.Contig107.91","XM_022459058.1","LOC111119179","adrenodoxin-like protein, mitochondrial",181,"GO:0016491"
"evm.model.Contig107.92","XM_022459060.1",NA,NA,NA,NA
"evm.model.Contig107.98","XM_022466108.1","LOC111123645","uncharacterized",610,"GO:0003674;GO:0005576;GO:0008150"
"evm.model.Contig1070.1","XM_022453017.1","LOC111114628","WD repeat-containing protein 61-like",311,"GO:0003674"
"evm.model.Contig1070.10.1","XM_022440438.1","LOC111105937","spermine synthase-like",374.5,"GO:0006520;GO:0009058;GO:0016765;GO:0034641"
"evm.model.Contig1070.14","XM_022455698.1","LOC111116710","glutamyl aminopeptidase-like",1012,"GO:0008233;GO:0043167"
"evm.model.Contig1070.15","XM_022445739.1",NA,NA,NA,NA
"evm.model.Contig1070.16","XM_022442220.1",NA,NA,NA,NA
"evm.model.Contig1070.18","XM_022443438.1",NA,NA,NA,NA
"evm.model.Contig1070.19","XM_022476570.1",NA,NA,NA,NA
"evm.model.Contig1070.2","XM_022453323.1","LOC111114831","tetratricopeptide repeat protein 23-like",502,"GO:0003674"
"evm.model.Contig1070.20","XM_022453261.1","LOC111114790","galactoside 2-alpha-L-fucosyltransferase 1-like",357,"GO:0005575;GO:0005975;GO:0006629;GO:0009058;GO:0016757"
"evm.model.Contig1070.21","XM_022454146.1",NA,NA,NA,NA
"evm.model.Contig1070.4","XM_022442233.1",NA,NA,NA,NA
"evm.model.Contig1070.5","XM_022472826.1",NA,NA,NA,NA
"evm.model.Contig107034.1","XM_022481229.1","LOC111133131","glyoxylate reductase/hydroxypyruvate reductase-like",317,"GO:0016491"
"evm.model.Contig107083.1","XM_022449235.1","LOC111111998","splicing factor 3B subunit 1-like",1234.66666666667,"GO:0003729;GO:0006397;GO:0022618"
"evm.model.Contig107220.1","XM_022487711.1","LOC111136677","aquaporin AQPAe.a-like",300,"GO:0005575;GO:0022857"
"evm.model.Contig10736.1","XM_022473237.1","LOC111127912","proteasome subunit alpha type-6-like",246,"GO:0005622;GO:0008233;GO:0009056;GO:0032991"
"evm.model.Contig1074.1","XM_022466994.1",NA,NA,NA,NA
"evm.model.Contig1074.10","XM_022464049.1","LOC111122332","sodium-dependent multivitamin transporter-like",135,"GO:0005575;GO:0022857"
"evm.model.Contig1074.11","XM_022464425.1","LOC111122614","RWD domain-containing protein 2B-like",302,"GO:0003674"
"evm.model.Contig1074.12","XM_022469075.1","LOC111125350","urea-proton symporter DUR3-like",787,"GO:0005575;GO:0022857"
"evm.model.Contig1074.13","XM_022471297.1","LOC111126564","urea-proton symporter DUR3-like",758,"GO:0005575;GO:0022857"
"evm.model.Contig1074.16","XM_022469075.1","LOC111125350","urea-proton symporter DUR3-like",787,"GO:0005575;GO:0022857"
"evm.model.Contig1074.17","XM_022469075.1","LOC111125350","urea-proton symporter DUR3-like",787,"GO:0005575;GO:0022857"
"evm.model.Contig1074.18","XM_022469075.1","LOC111125350","urea-proton symporter DUR3-like",787,"GO:0005575;GO:0022857"
"evm.model.Contig1074.2","XM_022431511.1",NA,NA,NA,NA
"evm.model.Contig1074.23","XM_022454125.1",NA,NA,NA,NA
"evm.model.Contig1074.24","XM_022448765.1","LOC111111666","ankyrin and armadillo repeat-containing protein-like",1458,"GO:0003674;GO:0007155"
"evm.model.Contig1074.25","XM_022454561.1","LOC111115725","glycine--tRNA ligase-like",724,"GO:0005737;GO:0006399;GO:0006412;GO:0006520;GO:0016874;GO:0032991;GO:0043167"
"evm.model.Contig1074.26","XM_022453021.1","LOC111114632","probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial",427,"GO:0006399;GO:0008233"
"evm.model.Contig1074.27","XM_022452782.1",NA,NA,NA,NA
"evm.model.Contig1074.28","XM_022448979.1","LOC111111820","prolyl 4-hydroxylase subunit alpha-1-like",496.333333333333,"GO:0016491;GO:0043167"
"evm.model.Contig1074.29","XM_022450824.1","LOC111112938","wolframin-like",777,"GO:0003674"
"evm.model.Contig1074.30","XM_022452959.1",NA,NA,NA,NA
"evm.model.Contig1074.31","XM_022452959.1",NA,NA,NA,NA
"evm.model.Contig1074.33","XM_022448186.1","LOC111111297","uncharacterized",2099,"GO:0006464;GO:0016301;GO:0043167"
"evm.model.Contig1074.34","XM_022451660.1",NA,NA,NA,NA
"evm.model.Contig1074.5","XM_022446762.1","LOC111110317","putative acyl-CoA synthetase YngI",564,"GO:0003674"
"evm.model.Contig1074.8","XM_022445750.1","LOC111109574","long-chain-fatty-acid--CoA ligase-like",563,"GO:0003674"
"evm.model.Contig1074.9","XM_022470507.1",NA,NA,NA,NA
"evm.model.Contig1075.1","XM_022445001.1",NA,NA,NA,NA
"evm.model.Contig107529.2","XM_022477666.1","LOC111130519","sodium-dependent phosphate transport protein 2B-like",603,"GO:0005575;GO:0022857"
"evm.model.Contig107681.1","XM_022439320.1",NA,NA,NA,NA
"evm.model.Contig10781.1","XM_022490214.1","LOC111138314","dedicator of cytokinesis protein 9-like",2182.04545454545,"GO:0007165;GO:0019899"
"evm.model.Contig107992.1","XM_022476534.1","LOC111129969","uncharacterized",750,"GO:0043167"
"evm.model.Contig108.1","XM_022440800.1",NA,NA,NA,NA
"evm.model.Contig108.100","XM_022468733.1","LOC111125194","guanylate kinase-like",314.25,"GO:0016301;GO:0034641;GO:0044281"
"evm.model.Contig108.105","XM_022465386.1","LOC111123208","protein CNPPD1-like",512,"GO:0006464;GO:0007049;GO:0019899"
"evm.model.Contig108.106","XM_022466745.1","LOC111123971","tyrosine-protein phosphatase non-receptor type 23-like",2299,"GO:0006464;GO:0006520;GO:0016791"
"evm.model.Contig108.107","XM_022482405.1",NA,NA,NA,NA
"evm.model.Contig108.108","XM_022457135.1","LOC111117900","complement C1q-like protein 2",255,"GO:0003674"
"evm.model.Contig108.110","XM_022469039.1","LOC111125331","heavy metal-binding protein HIP-like",360,"GO:0003674"
"evm.model.Contig108.111","XM_022469039.1","LOC111125331","heavy metal-binding protein HIP-like",360,"GO:0003674"
"evm.model.Contig108.112","XM_022489855.1","LOC111138064","metal tolerance protein 9-like",494,"GO:0005575;GO:0022857"
"evm.model.Contig108.115","XM_022469045.1","LOC111125340","uncharacterized",1668,"GO:0016757"
"evm.model.Contig108.116","XM_022469048.1","LOC111125342","uncharacterized",1523,"GO:0016757"
"evm.model.Contig108.117","XM_022469048.1","LOC111125342","uncharacterized",1523,"GO:0016757"
"evm.model.Contig108.118","XM_022465159.1","LOC111123069","nicotinamidase-like",289.5,"GO:0003674"
"evm.model.Contig108.119","XM_022468759.1","LOC111125208","uncharacterized",1786.83333333333,"GO:0016757"
"evm.model.Contig108.12","XM_022467526.1","LOC111124564","retinoic acid receptor RXR-alpha-B-like",470,"GO:0003677;GO:0003700;GO:0005634;GO:0007165;GO:0009058;GO:0032991;GO:0034641;GO:0043167"
"evm.model.Contig108.120","XM_022469366.1","LOC111125480","serine-rich adhesin for platelets-like",1208,"GO:0008233"
"evm.model.Contig108.121","XM_022469366.1","LOC111125480","serine-rich adhesin for platelets-like",1208,"GO:0008233"
"evm.model.Contig108.122","XM_022469366.1","LOC111125480","serine-rich adhesin for platelets-like",1208,"GO:0008233"
"evm.model.Contig108.123","XM_022468671.1","LOC111125153","A disintegrin and metalloproteinase with thrombospondin motifs 6-like",1031.42857142857,"GO:0008233"
"evm.model.Contig108.124.1","XM_022470727.1","LOC111126237","Golgi reassembly-stacking protein 2-like",432.5,"GO:0003674"
"evm.model.Contig108.125","XM_022439389.1","LOC111105224","uncharacterized",560,"GO:0043167"
"evm.model.Contig108.126","XM_022439992.1","LOC111105622","uncharacterized",560,"GO:0043167"
"evm.model.Contig108.127","XM_022464344.1","LOC111122556","cardioacceleratory peptide receptor-like",478,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig108.13","XM_022466524.1","LOC111123879","SID1 transmembrane family member 1-like",1145,"GO:0005575;GO:0022857"
"evm.model.Contig108.131","XM_022466706.1","LOC111123958","supervillin-like",1972,"GO:0007010;GO:0008092"
"evm.model.Contig108.132.1","XM_022469228.1","LOC111125433","inversin-like",964.75,"GO:0003674"
"evm.model.Contig108.133","XM_022463550.1","LOC111122024","pleckstrin homology domain-containing family A member 8-like",512,"GO:0003674;GO:0005737;GO:0006810;GO:0061024"
"evm.model.Contig108.134","XM_022472930.1","LOC111127652","actin-related protein 3",418.5,"GO:0005856;GO:0007010;GO:0032991;GO:0043167;GO:0065003"
"evm.model.Contig108.135","XM_022471578.1","LOC111126742","transmembrane protein 233-like",152,"GO:0005575"
"evm.model.Contig108.136","XM_022467353.1",NA,NA,NA,NA
"evm.model.Contig108.137","XM_022468884.1",NA,NA,NA,NA
"evm.model.Contig108.138","XM_022468884.1",NA,NA,NA,NA
"evm.model.Contig108.139","XM_022468884.1",NA,NA,NA,NA
"evm.model.Contig108.14","XM_022468824.1","LOC111125241","serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform-like",1039,"GO:0004518"
"evm.model.Contig108.140","XM_022468884.1",NA,NA,NA,NA
"evm.model.Contig108.144","XM_022446157.1",NA,NA,NA,NA
"evm.model.Contig108.16","XR_002638006.1",NA,NA,NA,NA
"evm.model.Contig108.2","XM_022468237.1","LOC111124929","glycogen synthase kinase-3 beta-like",412,"GO:0006464;GO:0016301;GO:0043167"
"evm.model.Contig108.24","XM_022465457.1",NA,NA,NA,NA
"evm.model.Contig108.26","XM_022458569.1","LOC111118879","uncharacterized",464.5,"GO:0003674"
"evm.model.Contig108.27","XM_022453337.1",NA,NA,NA,NA
"evm.model.Contig108.28","XM_022453337.1",NA,NA,NA,NA
"evm.model.Contig108.29","XM_022453337.1",NA,NA,NA,NA
"evm.model.Contig108.3","XM_022472256.1","LOC111127183","leucine-rich repeat-containing protein 58-like",356,"GO:0003674"
"evm.model.Contig108.30","XM_022478616.1","LOC111131197","carbohydrate sulfotransferase 9-like",419,"GO:0003674;GO:0005575;GO:0005975;GO:0009058"
"evm.model.Contig108.31","XM_022468541.1","LOC111125081","beta-1,3-galactosyltransferase 1-like",400,"GO:0005575;GO:0006464;GO:0009058;GO:0016757"
"evm.model.Contig108.32","XM_022478616.1","LOC111131197","carbohydrate sulfotransferase 9-like",419,"GO:0003674;GO:0005575;GO:0005975;GO:0009058"
"evm.model.Contig108.37","XM_022457318.1","LOC111118034","cadherin-23-like",1884,"GO:0005886;GO:0007155;GO:0043167"
"evm.model.Contig108.38","XM_022483300.1","LOC111134353","putative neural-cadherin 2",3024,"GO:0005886;GO:0007155;GO:0043167"
"evm.model.Contig108.4","XM_022468162.1","LOC111124897","peroxisomal biogenesis factor 19-like",280,"GO:0005777"
"evm.model.Contig108.40_evm.model.Contig108.39","XM_022457318.1","LOC111118034","cadherin-23-like",1884,"GO:0005886;GO:0007155;GO:0043167"
"evm.model.Contig108.41","XM_022457325.1","LOC111118039","protocadherin Fat 4-like",829,"GO:0005886;GO:0007155;GO:0043167"
"evm.model.Contig108.42","XM_022457318.1","LOC111118034","cadherin-23-like",1884,"GO:0005886;GO:0007155;GO:0043167"
"evm.model.Contig108.46","XM_022460580.1","LOC111119982","cAMP-dependent protein kinase regulatory subunit-like",411,"GO:0005622;GO:0006464;GO:0030234;GO:0032991"
"evm.model.Contig108.47","XM_022460584.1",NA,NA,NA,NA
"evm.model.Contig108.48.1","XM_022457526.1",NA,NA,NA,NA
"evm.model.Contig108.49","XM_022472710.1",NA,NA,NA,NA
"evm.model.Contig108.50","XM_022465350.1",NA,NA,NA,NA
"evm.model.Contig108.52","XM_022453823.1",NA,NA,NA,NA
"evm.model.Contig108.55","XM_022453831.1",NA,NA,NA,NA
"evm.model.Contig108.56","XM_022458054.1","LOC111118540","40S ribosomal protein SA-like",335,"GO:0003735;GO:0005840;GO:0006412;GO:0042254"
"evm.model.Contig108.57","XM_022460802.1","LOC111120114","DNA polymerase subunit gamma-2, mitochondrial-like",379,"GO:0005739;GO:0006259;GO:0006950;GO:0009058"
"evm.model.Contig108.58.2","XM_022461956.1","LOC111120915","zinc finger protein ubi-d4-like",375,"GO:0003674"
"evm.model.Contig108.58.2","XM_022461956.1","LOC111120915","zinc finger protein ubi-d4-like",375,"GO:0000228;GO:0032991;GO:0043167"
"evm.model.Contig108.59","XM_022464155.1","LOC111122386","prosaposin-like",1004,"GO:0005764;GO:0006629"
"evm.model.Contig108.60","XM_022461792.1","LOC111120813","tetratricopeptide repeat protein 30A-like",655,"GO:0003674"
