"TranscriptID","ProteinID","GeneID"
"XM_022450132.1","nuclear receptor subfamily 1 group D member 2-like","LOC111112562"
"XM_022450133.1","RNA-binding motif, single-stranded-interacting protein 3-like","LOC111112585"
"XM_022450134.1","sarcoplasmic calcium-binding protein-like","LOC111112587"
"XM_022450135.1","leucine-rich repeat-containing protein 71-like","LOC111112588"
"XM_022450136.1","leucine-rich repeat-containing protein 71-like","LOC111112588"
"XM_022450137.1","uncharacterized","LOC111112586"
"XM_022450138.1","leucine-rich repeat-containing protein 71-like","LOC111112588"
"XM_022450139.1","leucine-rich repeat-containing protein 71-like","LOC111112588"
"XM_022450140.1","leucine-rich repeat-containing protein 71-like","LOC111112588"
"XM_022450141.1","leucine-rich repeat-containing protein 71-like","LOC111112588"
"XM_022450142.1","leucine-rich repeat-containing protein 71-like","LOC111112588"
"XM_022450143.1","leucine-rich repeat-containing protein 71-like","LOC111112588"
"XM_022450144.1","leucine-rich repeat-containing protein 71-like","LOC111112588"
"XM_022450145.1","leucine-rich repeat-containing protein 71-like","LOC111112588"
"XM_022450146.1","leucine-rich repeat-containing protein 71-like","LOC111112588"
"XM_022450147.1","leucine-rich repeat-containing protein 71-like","LOC111112588"
"XM_022450148.1","leucine-rich repeat-containing protein 71-like","LOC111112588"
"XM_022450149.1","leucine-rich repeat-containing protein 71-like","LOC111112588"
"XM_022450150.1","leucine-rich repeat-containing protein 71-like","LOC111112588"
"XM_022450151.1","leucine-rich repeat-containing protein 71-like","LOC111112588"
"XM_022450152.1","leucine-rich repeat-containing protein 71-like","LOC111112588"
"XM_022450153.1","transient receptor potential cation channel subfamily M member 1-like","LOC111112589"
"XM_022450154.1","leucine-rich repeat-containing protein 71-like","LOC111112588"
"XM_022450155.1","leucine-rich repeat-containing protein 71-like","LOC111112588"
"XM_022450156.1","leucine-rich repeat-containing protein 71-like","LOC111112588"
"XM_022450157.1","leucine-rich repeat-containing protein 71-like","LOC111112588"
"XM_022450158.1","leucine-rich repeat-containing protein 71-like","LOC111112588"
"XM_022450159.1","short-chain collagen C4-like","LOC111112590"
"XM_022450160.1","short-chain collagen C4-like","LOC111112591"
"XM_022450161.1","short-chain collagen C4-like","LOC111112592"
"XM_022450162.1","short-chain collagen C4-like","LOC111112593"
"XM_022450163.1","short-chain collagen C4-like","LOC111112593"
"XM_022450164.1","proline-rich protein 36-like","LOC111112595"
"XM_022450165.1","bcl-2-like protein 1","LOC111112596"
"XM_022450166.1","uncharacterized","LOC111112594"
"XM_022450167.1","bcl-2-like protein 1","LOC111112596"
"XM_022450168.1","circumsporozoite protein-like","LOC111112597"
"XM_022450169.1","uncharacterized","LOC111112598"
"XM_022450170.1","uncharacterized","LOC111112599"
"XM_022450171.1","uncharacterized","LOC111112599"
"XM_022450172.1","uncharacterized","LOC111112599"
"XM_022450173.1","uncharacterized","LOC111112600"
"XM_022450174.1","uncharacterized","LOC111112603"
"XM_022450175.1","uncharacterized","LOC111112603"
"XM_022450176.1","uncharacterized","LOC111112603"
"XM_022450177.1","uncharacterized","LOC111112603"
"XM_022450178.1","spermine oxidase-like","LOC111112602"
"XM_022450179.1","uncharacterized","LOC111112604"
"XM_022450180.1","talin-1-like","LOC111112605"
"XM_022450181.1","talin-1-like","LOC111112605"
"XM_022450182.1","talin-1-like","LOC111112605"
"XM_022450183.1","talin-1-like","LOC111112605"
"XM_022450184.1","talin-1-like","LOC111112605"
"XM_022450185.1","talin-1-like","LOC111112605"
"XM_022450186.1","talin-1-like","LOC111112605"
"XM_022450187.1","talin-1-like","LOC111112605"
"XM_022450188.1","talin-1-like","LOC111112605"
"XM_022450189.1","talin-1-like","LOC111112605"
"XM_022450190.1","talin-1-like","LOC111112605"
"XM_022450191.1","talin-1-like","LOC111112605"
"XM_022450192.1","talin-1-like","LOC111112605"
"XM_022450193.1","fucolectin-4-like","LOC111112606"
"XM_022450194.1","talin-1-like","LOC111112605"
"XM_022450195.1","talin-1-like","LOC111112605"
"XM_022450196.1","talin-1-like","LOC111112605"
"XM_022450197.1","talin-1-like","LOC111112605"
"XM_022450198.1","talin-1-like","LOC111112605"
"XM_022450199.1","talin-1-like","LOC111112605"
"XM_022450200.1","talin-1-like","LOC111112605"
"XM_022450201.1","talin-1-like","LOC111112605"
"XM_022450202.1","talin-1-like","LOC111112605"
"XM_022450203.1","talin-1-like","LOC111112605"
"XM_022450204.1","talin-1-like","LOC111112605"
"XM_022450205.1","talin-1-like","LOC111112605"
"XM_022450206.1","talin-1-like","LOC111112605"
"XM_022450207.1","uncharacterized protein F54H12.2-like","LOC111112608"
"XM_022450208.1","uncharacterized","LOC111112607"
"XM_022450209.1","uncharacterized","LOC111112610"
"XM_022450210.1","uncharacterized","LOC111112611"
"XM_022450211.1","uncharacterized","LOC111112612"
"XM_022450212.1","uncharacterized","LOC111112612"
"XM_022450213.1","uncharacterized","LOC111112612"
"XM_022450214.1","uncharacterized","LOC111112612"
"XM_022450215.1","uncharacterized","LOC111112612"
"XM_022450216.1","uncharacterized","LOC111112612"
"XM_022450217.1","uncharacterized","LOC111112612"
"XM_022450218.1","uncharacterized","LOC111112612"
"XM_022450219.1","uncharacterized","LOC111112612"
"XM_022450220.1","uncharacterized","LOC111112612"
"XM_022450221.1","uncharacterized","LOC111112612"
"XM_022450222.1","tetratricopeptide repeat protein 21B-like","LOC111112613"
"XM_022450223.1","uncharacterized","LOC111112612"
"XM_022450224.1","uncharacterized","LOC111112614"
"XM_022450225.1","uncharacterized","LOC111112614"
"XM_022450226.1","uncharacterized","LOC111112614"
"XM_022450227.1","nuclear receptor subfamily 1 group D member 2-like","LOC111112562"
"XM_022450228.1","uncharacterized","LOC111112614"
"XM_022450229.1","uncharacterized","LOC111112614"
"XM_022450230.1","uncharacterized","LOC111112615"
"XM_022450231.1","uncharacterized","LOC111112615"
"XM_022450232.1","tetratricopeptide repeat protein 21B-like","LOC111112613"
"XM_022450233.1","uncharacterized","LOC111112616"
"XM_022450234.1","uncharacterized","LOC111112616"
"XM_022450235.1","uncharacterized","LOC111112616"
"XM_022450236.1","uncharacterized","LOC111112616"
"XM_022450237.1","uncharacterized","LOC111112617"
"XM_022450238.1","uncharacterized","LOC111112617"
"XM_022450239.1","piggyBac transposable element-derived protein 4-like","LOC111112618"
"XM_022450240.1","uncharacterized","LOC111112619"
"XM_022450241.1","uncharacterized","LOC111112619"
"XM_022450242.1","myb/SANT-like DNA-binding domain-containing protein 4","LOC111112621"
"XM_022450243.1","asparagine synthetase [glutamine-hydrolyzing]-like","LOC111112622"
"XM_022450244.1","asparagine synthetase [glutamine-hydrolyzing]-like","LOC111112622"
"XM_022450245.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450246.1","EF-hand calcium-binding domain-containing protein 1-like","LOC111112623"
"XM_022450247.1","glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like","LOC111112624"
"XM_022450248.1","glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like","LOC111112624"
"XM_022450249.1","glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like","LOC111112624"
"XM_022450250.1","glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like","LOC111112624"
"XM_022450251.1","glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like","LOC111112624"
"XM_022450252.1","guanine nucleotide-binding protein G(q) subunit alpha","LOC111112625"
"XM_022450253.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450254.1","uncharacterized","LOC111112626"
"XM_022450255.1","uncharacterized","LOC111112627"
"XM_022450256.1","uncharacterized","LOC111112627"
"XM_022450257.1","uncharacterized","LOC111112627"
"XM_022450258.1","uncharacterized","LOC111112627"
"XM_022450259.1","piggyBac transposable element-derived protein 4-like","LOC111112628"
"XM_022450260.1","piggyBac transposable element-derived protein 4-like","LOC111112628"
"XM_022450261.1","piggyBac transposable element-derived protein 4-like","LOC111112628"
"XM_022450262.1","piggyBac transposable element-derived protein 4-like","LOC111112628"
"XM_022450263.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450264.1","uncharacterized","LOC111112629"
"XM_022450265.1","uncharacterized","LOC111112629"
"XM_022450266.1","uncharacterized","LOC111112629"
"XM_022450267.1","uncharacterized","LOC111112629"
"XM_022450268.1","uncharacterized","LOC111112629"
"XM_022450269.1","uncharacterized","LOC111112629"
"XM_022450270.1","uncharacterized","LOC111112629"
"XM_022450271.1","uncharacterized","LOC111112629"
"XM_022450272.1","uncharacterized","LOC111112629"
"XM_022450273.1","uncharacterized","LOC111112629"
"XM_022450274.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450275.1","uncharacterized","LOC111112629"
"XM_022450276.1","uncharacterized","LOC111112629"
"XM_022450277.1","uncharacterized","LOC111112629"
"XM_022450278.1","uncharacterized","LOC111112629"
"XM_022450279.1","uncharacterized","LOC111112630"
"XM_022450280.1","uncharacterized","LOC111112630"
"XM_022450281.1","uncharacterized","LOC111112631"
"XM_022450282.1","uncharacterized","LOC111112631"
"XM_022450283.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450284.1","uncharacterized","LOC111112631"
"XM_022450285.1","uncharacterized","LOC111112631"
"XM_022450286.1","uncharacterized","LOC111112632"
"XM_022450287.1","probable nuclear hormone receptor HR3","LOC111112635"
"XM_022450288.1","probable nuclear hormone receptor HR3","LOC111112635"
"XM_022450289.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450290.1","probable nuclear hormone receptor HR3","LOC111112635"
"XM_022450291.1","probable nuclear hormone receptor HR3","LOC111112635"
"XM_022450292.1","uncharacterized","LOC111112636"
"XM_022450293.1","uncharacterized","LOC111112637"
"XM_022450294.1","uncharacterized","LOC111112639"
"XM_022450295.1","excitatory amino acid transporter 3-like","LOC111112640"
"XM_022450296.1","excitatory amino acid transporter 3-like","LOC111112640"
"XM_022450297.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450298.1","guanine nucleotide-binding protein G(q) subunit alpha-like","LOC111112641"
"XM_022450299.1","band 4.1-like protein 5","LOC111112642"
"XM_022450300.1","band 4.1-like protein 5","LOC111112642"
"XM_022450301.1","band 4.1-like protein 5","LOC111112642"
"XM_022450302.1","band 4.1-like protein 5","LOC111112642"
"XM_022450303.1","E3 ubiquitin-protein ligase ZSWIM2-like","LOC111112643"
"XM_022450304.1","E3 ubiquitin-protein ligase ZSWIM2-like","LOC111112643"
"XM_022450305.1","E3 ubiquitin-protein ligase ZSWIM2-like","LOC111112643"
"XM_022450306.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450307.1","carbohydrate sulfotransferase 1-like","LOC111112644"
"XM_022450308.1","cytochrome c-like","LOC111112645"
"XM_022450309.1","uncharacterized","LOC111112647"
"XM_022450310.1","uncharacterized","LOC111112648"
"XM_022450311.1","uncharacterized","LOC111112649"
"XM_022450312.1","uncharacterized","LOC111112649"
"XM_022450313.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450314.1","uncharacterized","LOC111112653"
"XM_022450315.1","uncharacterized","LOC111112653"
"XM_022450316.1","uncharacterized","LOC111112653"
"XM_022450317.1","uncharacterized","LOC111112653"
"XM_022450318.1","uncharacterized","LOC111112653"
"XM_022450319.1","uncharacterized","LOC111112653"
"XM_022450320.1","uncharacterized","LOC111112654"
"XM_022450321.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450322.1","myosin-3-like","LOC111112655"
"XM_022450323.1","myosin-3-like","LOC111112655"
"XM_022450324.1","myosin-3-like","LOC111112655"
"XM_022450325.1","myosin-3-like","LOC111112655"
"XM_022450326.1","myosin-3-like","LOC111112655"
"XM_022450327.1","myosin-3-like","LOC111112655"
"XM_022450328.1","myosin-3-like","LOC111112655"
"XM_022450329.1","myosin-3-like","LOC111112655"
"XM_022450330.1","myosin-3-like","LOC111112655"
"XM_022450331.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450332.1","myosin-3-like","LOC111112655"
"XM_022450333.1","myosin-3-like","LOC111112655"
"XM_022450334.1","myosin-3-like","LOC111112655"
"XM_022450335.1","myosin-3-like","LOC111112655"
"XM_022450336.1","myosin-3-like","LOC111112655"
"XM_022450337.1","myosin-3-like","LOC111112655"
"XM_022450338.1","myosin-3-like","LOC111112655"
"XM_022450339.1","myosin-3-like","LOC111112655"
"XM_022450340.1","myosin-3-like","LOC111112655"
"XM_022450341.1","uncharacterized","LOC111112656"
"XM_022450342.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450343.1","uncharacterized","LOC111112657"
"XM_022450344.1","uncharacterized","LOC111112657"
"XM_022450345.1","uncharacterized","LOC111112657"
"XM_022450346.1","uncharacterized","LOC111112657"
"XM_022450347.1","uncharacterized","LOC111112657"
"XM_022450348.1","uncharacterized","LOC111112658"
"XM_022450349.1","uncharacterized","LOC111112658"
"XM_022450350.1","uncharacterized","LOC111112658"
"XM_022450351.1","uncharacterized","LOC111112658"
"XM_022450352.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450353.1","uncharacterized","LOC111112658"
"XM_022450354.1","uncharacterized","LOC111112658"
"XM_022450355.1","uncharacterized","LOC111112659"
"XM_022450356.1","uncharacterized","LOC111112660"
"XM_022450357.1","uncharacterized","LOC111112662"
"XM_022450358.1","opioid-binding protein/cell adhesion molecule-like","LOC111112650"
"XM_022450359.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450360.1","uncharacterized","LOC111112663"
"XM_022450361.1","probable helicase senataxin","LOC111112664"
"XM_022450362.1","uncharacterized","LOC111112665"
"XM_022450363.1","uncharacterized","LOC111112665"
"XM_022450364.1","uncharacterized","LOC111112665"
"XM_022450365.1","uncharacterized","LOC111112665"
"XM_022450366.1","uncharacterized","LOC111112665"
"XM_022450367.1","uncharacterized","LOC111112666"
"XM_022450368.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450369.1","uncharacterized","LOC111112666"
"XM_022450370.1","uncharacterized","LOC111112666"
"XM_022450371.1","uncharacterized","LOC111112666"
"XM_022450372.1","uncharacterized","LOC111112666"
"XM_022450373.1","uncharacterized","LOC111112667"
"XM_022450374.1","uncharacterized","LOC111112667"
"XM_022450375.1","ankyrin-1-like","LOC111112668"
"XM_022450376.1","uncharacterized","LOC111112669"
"XM_022450377.1","uncharacterized","LOC111112669"
"XM_022450378.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450379.1","uncharacterized","LOC111112669"
"XM_022450380.1","collagen alpha-1(VIII) chain-like","LOC111112670"
"XM_022450381.1","transmembrane protein 267-like","LOC111112671"
"XM_022450382.1","transmembrane protein 267-like","LOC111112671"
"XM_022450383.1","transmembrane protein 267-like","LOC111112672"
"XM_022450384.1","uncharacterized","LOC111112673"
"XM_022450385.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450386.1","adhesion G protein-coupled receptor A3-like","LOC111112679"
"XM_022450387.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450388.1","adhesion G protein-coupled receptor A3-like","LOC111112679"
"XM_022450389.1","adhesion G protein-coupled receptor A3-like","LOC111112680"
"XM_022450390.1","receptor-type tyrosine-protein phosphatase alpha-like","LOC111112681"
"XM_022450391.1","receptor-type tyrosine-protein phosphatase alpha-like","LOC111112681"
"XM_022450392.1","receptor-type tyrosine-protein phosphatase epsilon-like","LOC111112682"
"XM_022450393.1","receptor-type tyrosine-protein phosphatase epsilon-like","LOC111112683"
"XM_022450394.1","receptor-type tyrosine-protein phosphatase epsilon-like","LOC111112684"
"XM_022450395.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450396.1","uncharacterized","LOC111112685"
"XM_022450397.1","uncharacterized","LOC111112685"
"XM_022450398.1","uncharacterized","LOC111112685"
"XM_022450399.1","uncharacterized","LOC111112685"
"XM_022450400.1","uncharacterized","LOC111112685"
"XM_022450401.1","uncharacterized","LOC111112685"
"XM_022450402.1","uncharacterized","LOC111112686"
"XM_022450403.1","uncharacterized","LOC111112686"
"XM_022450404.1","multiple epidermal growth factor-like domains protein 10","LOC111112687"
"XM_022450405.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450406.1","multiple epidermal growth factor-like domains protein 10","LOC111112687"
"XM_022450407.1","uncharacterized","LOC111112688"
"XM_022450408.1","uncharacterized","LOC111112688"
"XM_022450409.1","uncharacterized","LOC111112688"
"XM_022450410.1","uncharacterized","LOC111112688"
"XM_022450411.1","uncharacterized","LOC111112688"
"XM_022450412.1","uncharacterized","LOC111112689"
"XM_022450413.1","multiple epidermal growth factor-like domains protein 6","LOC111112690"
"XM_022450414.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450415.1","uncharacterized","LOC111112691"
"XM_022450416.1","uncharacterized","LOC111112692"
"XM_022450417.1","protein draper-like","LOC111112693"
"XM_022450418.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450419.1","multidrug resistance protein 1B-like","LOC111112699"
"XM_022450420.1","multidrug resistance protein 1B-like","LOC111112699"
"XM_022450421.1","multidrug resistance protein 1B-like","LOC111112699"
"XM_022450422.1","multidrug resistance protein 1B-like","LOC111112699"
"XM_022450423.1","multidrug resistance protein 1B-like","LOC111112699"
"XM_022450424.1","ubiquitin carboxyl-terminal hydrolase 8-like","LOC111112700"
"XM_022450425.1","ubiquitin carboxyl-terminal hydrolase 8-like","LOC111112700"
"XM_022450426.1","ubiquitin carboxyl-terminal hydrolase 8-like","LOC111112700"
"XM_022450427.1","ubiquitin carboxyl-terminal hydrolase 8-like","LOC111112700"
"XM_022450428.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450429.1","39S ribosomal protein L21, mitochondrial-like","LOC111112701"
"XM_022450430.1","sorting nexin-13-like","LOC111112703"
"XM_022450431.1","sorting nexin-13-like","LOC111112703"
"XM_022450432.1","uncharacterized","LOC111112704"
"XM_022450433.1","sodium/potassium/calcium exchanger 3-like","LOC111112705"
"XM_022450434.1","sodium/potassium/calcium exchanger 3-like","LOC111112705"
"XM_022450435.1","opioid-binding protein/cell adhesion molecule-like","LOC111112650"
"XM_022450436.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450437.1","receptor-type tyrosine-protein phosphatase T-like","LOC111112706"
"XM_022450438.1","receptor-type tyrosine-protein phosphatase T-like","LOC111112706"
"XM_022450439.1","receptor-type tyrosine-protein phosphatase T-like","LOC111112706"
"XM_022450440.1","receptor-type tyrosine-protein phosphatase alpha-like","LOC111112707"
"XM_022450441.1","protein draper-like","LOC111112708"
"XM_022450442.1","multiple epidermal growth factor-like domains protein 10","LOC111112709"
"XM_022450443.1","multiple epidermal growth factor-like domains protein 10","LOC111112710"
"XM_022450444.1","multiple epidermal growth factor-like domains protein 10","LOC111112710"
"XM_022450445.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450446.1","multiple epidermal growth factor-like domains protein 10","LOC111112711"
"XM_022450447.1","multiple epidermal growth factor-like domains protein 10","LOC111112712"
"XM_022450448.1","homeobox protein Wariai-like","LOC111112713"
"XM_022450449.1","scavenger receptor class F member 1-like","LOC111112714"
"XM_022450450.1","multiple epidermal growth factor-like domains protein 11","LOC111112715"
"XM_022450451.1","uncharacterized","LOC111112716"
"XM_022450452.1","scavenger receptor class F member 1-like","LOC111112717"
"XM_022450453.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450454.1","uncharacterized","LOC111112718"
"XM_022450455.1","uncharacterized","LOC111112719"
"XM_022450456.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450457.1","uncharacterized","LOC111112726"
"XM_022450458.1","uncharacterized","LOC111112726"
"XM_022450459.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450460.1","uncharacterized","LOC111112729"
"XM_022450461.1","uncharacterized","LOC111112729"
"XM_022450462.1","uncharacterized","LOC111112729"
"XM_022450463.1","uncharacterized","LOC111112729"
"XM_022450464.1","ras GTPase-activating-like protein IQGAP1","LOC111112730"
"XM_022450465.1","protein FAM81A-like","LOC111112731"
"XM_022450466.1","protein FAM81A-like","LOC111112731"
"XM_022450467.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450468.1","protein FAM81A-like","LOC111112732"
"XM_022450469.1","heterogeneous nuclear ribonucleoprotein K-like","LOC111112733"
"XM_022450470.1","heterogeneous nuclear ribonucleoprotein K-like","LOC111112733"
"XM_022450471.1","heterogeneous nuclear ribonucleoprotein K-like","LOC111112733"
"XM_022450472.1","heterogeneous nuclear ribonucleoprotein K-like","LOC111112733"
"XM_022450473.1","heterogeneous nuclear ribonucleoprotein K-like","LOC111112733"
"XM_022450474.1","heterogeneous nuclear ribonucleoprotein K-like","LOC111112733"
"XM_022450475.1","heterogeneous nuclear ribonucleoprotein K-like","LOC111112733"
"XM_022450476.1","heterogeneous nuclear ribonucleoprotein K-like","LOC111112733"
"XM_022450477.1","heterogeneous nuclear ribonucleoprotein K-like","LOC111112733"
"XM_022450478.1","centrosome and spindle pole-associated protein 1-like","LOC111112620"
"XM_022450479.1","heterogeneous nuclear ribonucleoprotein K-like","LOC111112733"
"XM_022450480.1","galanin receptor type 1-like","LOC111112734"
"XM_022450481.1","galanin receptor type 1-like","LOC111112734"
"XM_022450482.1","galanin receptor type 1-like","LOC111112734"
"XM_022450483.1","complement C1q-like protein 4","LOC111112735"
"XM_022450484.1","integrin alpha-4-like","LOC111112736"
"XM_022450485.1","neurogenic locus notch homolog protein 1-like","LOC111112737"
"XM_022450486.1","neurogenic locus notch homolog protein 1-like","LOC111112737"
"XM_022450487.1","receptor-type tyrosine-protein phosphatase epsilon-like","LOC111112739"
"XM_022450488.1","uncharacterized","LOC111112740"
"XM_022450489.1","uncharacterized","LOC111112740"
"XM_022450490.1","uncharacterized","LOC111112738"
"XM_022450491.1","protein Simiate-like","LOC111112742"
"XM_022450492.1","telomere-associated protein RIF1-like","LOC111112743"
"XM_022450493.1","interferon alpha-inducible protein 27-like protein 2B","LOC111112744"
"XM_022450494.1","interferon alpha-inducible protein 27-like protein 2B","LOC111112744"
"XM_022450495.1","interferon alpha-inducible protein 27-like protein 2B","LOC111112744"
"XM_022450496.1","interferon alpha-inducible protein 27-like protein 2B","LOC111112744"
"XM_022450497.1","interferon alpha-inducible protein 27-like protein 2B","LOC111112746"
"XM_022450498.1","15-hydroxyprostaglandin dehydrogenase [NAD(+)]-like","LOC111112745"
"XM_022450499.1","interferon alpha-inducible protein 27-like protein 2B","LOC111112746"
"XM_022450500.1","uncharacterized","LOC111112747"
"XM_022450501.1","uncharacterized","LOC111112747"
"XM_022450502.1","uncharacterized","LOC111112747"
"XM_022450503.1","uncharacterized","LOC111112748"
"XM_022450504.1","alpha-1-macroglobulin-like","LOC111112749"
"XM_022450505.1","uncharacterized","LOC111112750"
"XM_022450506.1","uncharacterized","LOC111112750"
"XM_022450507.1","opioid-binding protein/cell adhesion molecule-like","LOC111112650"
"XM_022450508.1","uncharacterized","LOC111112750"
"XM_022450509.1","pleckstrin homology domain-containing family D member 1-like","LOC111112752"
"XM_022450510.1","pleckstrin homology domain-containing family D member 1-like","LOC111112752"
"XM_022450511.1","pleckstrin homology domain-containing family D member 1-like","LOC111112752"
"XM_022450512.1","pleckstrin homology domain-containing family D member 1-like","LOC111112752"
"XM_022450513.1","proline-rich transmembrane protein 1-like","LOC111112751"
"XM_022450514.1","pleckstrin homology domain-containing family D member 1-like","LOC111112752"
"XM_022450515.1","receptor-type tyrosine-protein phosphatase mu-like","LOC111112753"
"XM_022450516.1","receptor-type tyrosine-protein phosphatase kappa-like","LOC111112754"
"XM_022450517.1","receptor-type tyrosine-protein phosphatase alpha-like","LOC111112755"
"XM_022450518.1","receptor-type tyrosine-protein phosphatase T-like","LOC111112756"
"XM_022450519.1","multiple epidermal growth factor-like domains protein 10","LOC111112757"
"XM_022450520.1","multiple epidermal growth factor-like domains protein 10","LOC111112757"
"XM_022450521.1","uncharacterized","LOC111112759"
"XM_022450522.1","acidic leucine-rich nuclear phosphoprotein 32 family member A-like","LOC111112761"
"XM_022450523.1","acidic leucine-rich nuclear phosphoprotein 32 family member A-like","LOC111112761"
"XM_022450524.1","alcohol dehydrogenase-like","LOC111112758"
"XM_022450525.1","acidic leucine-rich nuclear phosphoprotein 32 family member A-like","LOC111112761"
"XM_022450526.1","acidic leucine-rich nuclear phosphoprotein 32 family member A-like","LOC111112761"
"XM_022450527.1","acidic leucine-rich nuclear phosphoprotein 32 family member A-like","LOC111112761"
"XM_022450528.1","sodium-dependent multivitamin transporter-like","LOC111112762"
"XM_022450529.1","sodium-dependent multivitamin transporter-like","LOC111112762"
"XM_022450530.1","sodium-coupled monocarboxylate transporter 1-like","LOC111112763"
"XM_022450531.1","sodium-coupled monocarboxylate transporter 1-like","LOC111112763"
"XM_022450532.1","sodium-coupled monocarboxylate transporter 1-like","LOC111112763"
"XM_022450533.1","sodium-coupled monocarboxylate transporter 1-like","LOC111112763"
"XM_022450534.1","sodium-coupled monocarboxylate transporter 1-like","LOC111112765"
"XM_022450535.1","multiple epidermal growth factor-like domains protein 10","LOC111112766"
"XM_022450536.1","multiple epidermal growth factor-like domains protein 10","LOC111112766"
"XM_022450537.1","metalloproteinase inhibitor 3-like","LOC111112764"
"XM_022450538.1","uncharacterized","LOC111112767"
"XM_022450539.1","uncharacterized","LOC111112767"
"XM_022450540.1","uncharacterized","LOC111112768"
"XM_022450541.1","uncharacterized","LOC111112770"
"XM_022450542.1","complement C1q-like protein 4","LOC111112771"
"XM_022450543.1","aminopeptidase N-like","LOC111112772"
"XM_022450544.1","aminopeptidase N-like","LOC111112772"
"XM_022450545.1","uncharacterized","LOC111112774"
"XM_022450546.1","uncharacterized","LOC111112774"
"XM_022450547.1","uncharacterized","LOC111112774"
"XM_022450548.1","uncharacterized","LOC111112774"
"XM_022450549.1","uncharacterized","LOC111112774"
"XM_022450550.1","potassium voltage-gated channel protein Shaw-like","LOC111112773"
"XM_022450551.1","uncharacterized","LOC111112774"
"XM_022450552.1","uncharacterized","LOC111112774"
"XM_022450553.1","uncharacterized","LOC111112774"
"XM_022450554.1","uncharacterized","LOC111112774"
"XM_022450555.1","uncharacterized","LOC111112774"
"XM_022450556.1","uncharacterized","LOC111112774"
"XM_022450557.1","uncharacterized","LOC111112774"
"XM_022450558.1","uncharacterized","LOC111112775"
"XM_022450559.1","uncharacterized","LOC111112775"
"XM_022450560.1","potassium voltage-gated channel protein Shaw-like","LOC111112773"
"XM_022450561.1","multiple epidermal growth factor-like domains protein 6","LOC111112776"
"XM_022450562.1","multiple epidermal growth factor-like domains protein 10","LOC111112777"
"XM_022450563.1","multiple epidermal growth factor-like domains protein 10","LOC111112778"
"XM_022450564.1","multiple epidermal growth factor-like domains protein 10","LOC111112778"
"XM_022450565.1","multiple epidermal growth factor-like domains protein 10","LOC111112778"
"XM_022450566.1","multiple epidermal growth factor-like domains protein 10","LOC111112778"
"XM_022450567.1","uncharacterized","LOC111112779"
"XM_022450568.1","uncharacterized","LOC111112779"
"XM_022450569.1","uncharacterized","LOC111112779"
"XM_022450570.1","uncharacterized","LOC111112779"
"XM_022450571.1","uncharacterized","LOC111112779"
"XM_022450572.1","cell death abnormality protein 1-like","LOC111112781"
"XM_022450573.1","cell death abnormality protein 1-like","LOC111112781"
"XM_022450574.1","cell death abnormality protein 1-like","LOC111112781"
"XM_022450575.1","cell death abnormality protein 1-like","LOC111112781"
"XM_022450576.1","multiple epidermal growth factor-like domains protein 10","LOC111112782"
"XM_022450577.1","phosphatidylethanolamine N-methyltransferase-like","LOC111112783"
