"GeneID","TranscriptID","ProteinID","meanLength","Annotation_GO_ID"
"LOC111111837","XM_022449005.1","tripartite motif-containing protein 3-like",559,"GO:0043167"
"LOC111111838","XM_022449006.1","tripartite motif-containing protein 3-like",557,"GO:0043167"
"LOC111111839","XM_022449007.1","uncharacterized",556,"GO:0043167"
"LOC111111840","XM_022449008.1","tripartite motif-containing protein 2-like",429,"GO:0043167"
"LOC111111842","XM_022449014.1","fibrillin-2-like",1065,"GO:0005198;GO:0031012;GO:0043167"
"LOC111111843","XM_022449012.1","methylmalonic aciduria and homocystinuria type D homolog, mitochondrial-like",316,"GO:0044281;GO:0051186"
"LOC111111845","XM_022449015.1","nuclease EXOG, mitochondrial-like",295,"GO:0043167"
"LOC111111846","XM_022449016.1","glyoxal reductase-like",269.5,"GO:0016491"
"LOC111111846","XM_022449017.1","glyoxal reductase-like",269.5,"GO:0016491"
"LOC111111852","XM_022449019.1","uncharacterized",556,"GO:0043167"
"LOC111111854","XM_022449021.1","ras-related protein Rab-11B-like",206,"GO:0003924;GO:0043167"
"LOC111111855","XM_022449089.1","glutamate-rich protein 3-like",1731.16666666667,"GO:0003674"
"LOC111111855","XM_022449091.1","glutamate-rich protein 3-like",1731.16666666667,"GO:0003674"
"LOC111111855","XM_022449064.1","glutamate-rich protein 3-like",1731.16666666667,"GO:0003674"
"LOC111111855","XM_022449072.1","glutamate-rich protein 3-like",1731.16666666667,"GO:0003674"
"LOC111111855","XM_022449105.1","glutamate-rich protein 3-like",1731.16666666667,"GO:0003674"
"LOC111111855","XM_022449030.1","glutamate-rich protein 3-like",1731.16666666667,"GO:0003674"
"LOC111111855","XM_022449038.1","glutamate-rich protein 3-like",1731.16666666667,"GO:0003674"
"LOC111111855","XM_022449022.1","glutamate-rich protein 3-like",1731.16666666667,"GO:0003674"
"LOC111111855","XM_022449055.1","glutamate-rich protein 3-like",1731.16666666667,"GO:0003674"
"LOC111111855","XM_022449082.1","glutamate-rich protein 3-like",1731.16666666667,"GO:0003674"
"LOC111111855","XM_022449098.1","glutamate-rich protein 3-like",1731.16666666667,"GO:0003674"
"LOC111111855","XM_022449045.1","glutamate-rich protein 3-like",1731.16666666667,"GO:0003674"
"LOC111111857","XM_022449023.1","uncharacterized",558,"GO:0043167"
"LOC111111861","XM_022449028.1","ATP-dependent DNA helicase Q-like 1",132,"GO:0043167"
"LOC111111864","XM_022449032.1","E3 ubiquitin-protein ligase TRIM71-like",538,"GO:0043167"
"LOC111111864","XM_022449031.1","E3 ubiquitin-protein ligase TRIM71-like",538,"GO:0043167"
"LOC111111865","XM_022449033.1","uncharacterized",546,"GO:0043167"
"LOC111111866","XM_022449034.1","uncharacterized",222,"GO:0003674"
"LOC111111867","XM_022449036.1","uncharacterized",680,"GO:0003674"
"LOC111111867","XM_022449035.1","uncharacterized",680,"GO:0003674"
"LOC111111868","XM_022449037.1","uncharacterized",567,"GO:0003677;GO:0005634;GO:0006259;GO:0006950"
"LOC111111871","XM_022449041.1","cystatin-A-like",122.25,"GO:0005622;GO:0030234"
"LOC111111871","XM_022449042.1","cystatin-A-like",122.25,"GO:0005622;GO:0030234"
"LOC111111871","XM_022449043.1","cystatin-A-like",122.25,"GO:0005622;GO:0030234"
"LOC111111871","XM_022449040.1","cystatin-A-like",122.25,"GO:0005622;GO:0030234"
"LOC111111872","XM_022449047.1","uncharacterized",9668.33333333333,"GO:0003674"
"LOC111111872","XM_022449044.1","uncharacterized",9668.33333333333,"GO:0003674"
"LOC111111872","XM_022449046.1","uncharacterized",9668.33333333333,"GO:0003674"
"LOC111111873","XM_022449051.1","uncharacterized",8763,"GO:0003674"
"LOC111111873","XM_022449048.1","uncharacterized",8763,"GO:0003674"
"LOC111111873","XM_022449049.1","uncharacterized",8763,"GO:0003674"
"LOC111111874","XM_022449052.1","adenylate cyclase type 5-like",1137,"GO:0005886;GO:0007165;GO:0009058;GO:0016829;GO:0034641;GO:0044281"
"LOC111111875","XM_022449053.1","uncharacterized",559,"GO:0043167"
"LOC111111878","XM_022449059.1","alpha-amylase-like",520,"GO:0005975;GO:0043167"
"LOC111111879","XM_022449060.1","cytochrome P450 3A11-like",473.5,"GO:0016491;GO:0043167"
"LOC111111879","XM_022449061.1","cytochrome P450 3A11-like",473.5,"GO:0016491;GO:0043167"
"LOC111111880","XM_022449063.1","cytochrome P450 3A11-like",473.5,"GO:0016491;GO:0043167"
"LOC111111880","XM_022449062.1","cytochrome P450 3A11-like",473.5,"GO:0016491;GO:0043167"
"LOC111111882","XM_022449067.1","uncharacterized",439,"GO:0003674"
"LOC111111882","XM_022449066.1","uncharacterized",439,"GO:0003674"
"LOC111111883","XM_022449068.1","cytochrome P450 3A11-like",435,"GO:0016491;GO:0043167"
"LOC111111883","XM_022449069.1","cytochrome P450 3A11-like",435,"GO:0016491;GO:0043167"
"LOC111111884","XM_022449070.1","cytochrome P450 3A19-like",369,"GO:0016491;GO:0043167"
"LOC111111885","XM_022449073.1","17-beta-hydroxysteroid dehydrogenase type 6-like",313,"GO:0016491"
"LOC111111885","XM_022449074.1","17-beta-hydroxysteroid dehydrogenase type 6-like",313,"GO:0016491"
"LOC111111885","XM_022449075.1","17-beta-hydroxysteroid dehydrogenase type 6-like",313,"GO:0016491"
"LOC111111885","XM_022449071.1","17-beta-hydroxysteroid dehydrogenase type 6-like",313,"GO:0016491"
"LOC111111886","XM_022449078.1","cAMP-responsive element modulator-like",274.5,"GO:0003677;GO:0003700;GO:0005634;GO:0009058;GO:0032991;GO:0034641"
"LOC111111886","XM_022449076.1","cAMP-responsive element modulator-like",274.5,"GO:0003677;GO:0003700;GO:0005634;GO:0009058;GO:0032991;GO:0034641"
"LOC111111886","XM_022449077.1","cAMP-responsive element modulator-like",274.5,"GO:0003677;GO:0003700;GO:0005634;GO:0009058;GO:0032991;GO:0034641"
"LOC111111886","XM_022449079.1","cAMP-responsive element modulator-like",274.5,"GO:0003677;GO:0003700;GO:0005634;GO:0009058;GO:0032991;GO:0034641"
"LOC111111888","XM_022449081.1","superoxide dismutase [Cu-Zn]-like",224,"GO:0008150;GO:0043167"
"LOC111111889","XM_022449083.1","uncharacterized",209,"GO:0043167"
"LOC111111890","XM_022449084.1","fatty acid-binding protein-like",140,"GO:0008289"
"LOC111111891","XM_022449085.1","fatty acid-binding protein-like",140,"GO:0008289"
"LOC111111894","XM_022449088.1","superoxide dismutase [Cu-Zn], chloroplastic-like",127,"GO:0008150;GO:0043167"
"LOC111111895","XM_022449090.1","cytochrome P450 3A40-like",112,"GO:0016491;GO:0043167"
"LOC111111908","XM_022449097.1","uncharacterized",564,"GO:0043167"
"LOC111111909","XM_022449099.1","uncharacterized",217,"GO:0003674"
"LOC111111910","XM_022449100.1","uncharacterized",113,"GO:0003674"
"LOC111111916","XM_022449107.1","E3 ubiquitin-protein ligase TRIM71-like",572,"GO:0043167"
"LOC111111916","XM_022449106.1","E3 ubiquitin-protein ligase TRIM71-like",572,"GO:0043167"
"LOC111111919","XM_022449112.1","uncharacterized",567,"GO:0003924"
"LOC111111919","XM_022449111.1","uncharacterized",567,"GO:0003924"
"LOC111111923","XM_022449114.1","E3 ubiquitin-protein ligase TRIM36-like",559,"GO:0043167"
"LOC111111926","XM_022449117.1","uncharacterized",1123,"GO:0016757"
"LOC111111928","XM_022449118.1","uncharacterized",888,"GO:0003674"
"LOC111111929","XM_022449120.1","multiple epidermal growth factor-like domains protein 10",1289.5,"GO:0003674;GO:0005575;GO:0007165;GO:0016192"
"LOC111111929","XM_022449119.1","multiple epidermal growth factor-like domains protein 10",1289.5,"GO:0003674;GO:0005575;GO:0007165;GO:0016192"
"LOC111111930","XM_022449125.1","receptor-type tyrosine-protein phosphatase alpha-like",1228.6,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111930","XM_022449122.1","receptor-type tyrosine-protein phosphatase alpha-like",1228.6,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111930","XM_022449121.1","receptor-type tyrosine-protein phosphatase alpha-like",1228.6,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111930","XM_022449124.1","receptor-type tyrosine-protein phosphatase alpha-like",1228.6,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111930","XM_022449126.1","receptor-type tyrosine-protein phosphatase alpha-like",1228.6,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111933","XM_022449128.1","laminin subunit alpha-1-like",461,"GO:0003674;GO:0005575;GO:0007165;GO:0016192"
"LOC111111934","XM_022449129.1","zinc finger protein 878-like",698,"GO:0003674"
"LOC111111941","XM_022449138.1","multiple epidermal growth factor-like domains protein 11",1671.11111111111,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111941","XM_022449143.1","multiple epidermal growth factor-like domains protein 11",1671.11111111111,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111941","XM_022449139.1","multiple epidermal growth factor-like domains protein 11",1671.11111111111,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111941","XM_022449141.1","multiple epidermal growth factor-like domains protein 11",1671.11111111111,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111941","XM_022449147.1","multiple epidermal growth factor-like domains protein 11",1671.11111111111,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111941","XM_022449142.1","multiple epidermal growth factor-like domains protein 11",1671.11111111111,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111941","XM_022449145.1","multiple epidermal growth factor-like domains protein 11",1671.11111111111,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111941","XM_022449146.1","multiple epidermal growth factor-like domains protein 11",1671.11111111111,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111941","XM_022449140.1","multiple epidermal growth factor-like domains protein 11",1671.11111111111,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111943","XM_022449152.1","uncharacterized",1413.28571428571,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111943","XM_022449151.1","uncharacterized",1413.28571428571,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111943","XM_022449148.1","uncharacterized",1413.28571428571,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111943","XM_022449149.1","uncharacterized",1413.28571428571,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111943","XM_022449154.1","uncharacterized",1413.28571428571,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111943","XM_022449150.1","uncharacterized",1413.28571428571,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111943","XM_022449153.1","uncharacterized",1413.28571428571,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111945","XM_022449157.1","receptor-type tyrosine-protein phosphatase alpha-like",1268,"GO:0005575;GO:0006464;GO:0006520;GO:0016791"
"LOC111111946","XM_022449161.1","receptor-type tyrosine-protein phosphatase delta-like",713,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111946","XM_022449159.1","receptor-type tyrosine-protein phosphatase delta-like",713,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111946","XM_022449163.1","receptor-type tyrosine-protein phosphatase delta-like",713,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111946","XM_022449158.1","receptor-type tyrosine-protein phosphatase delta-like",713,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111946","XM_022449162.1","receptor-type tyrosine-protein phosphatase delta-like",713,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111946","XM_022449160.1","receptor-type tyrosine-protein phosphatase delta-like",713,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111947","XM_022449169.1","N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase-like",438,"GO:0005575;GO:0016757"
"LOC111111948","XM_022449165.1","receptor-type tyrosine-protein phosphatase T-like",759,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111948","XM_022449164.1","receptor-type tyrosine-protein phosphatase T-like",759,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111948","XM_022449166.1","receptor-type tyrosine-protein phosphatase T-like",759,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111950","XM_022449170.1","multiple epidermal growth factor-like domains protein 10",554.5,"GO:0003674;GO:0005575;GO:0007165;GO:0016192"
"LOC111111950","XM_022449171.1","multiple epidermal growth factor-like domains protein 10",554.5,"GO:0003674;GO:0005575;GO:0007165;GO:0016192"
"LOC111111951","XM_022449172.1","receptor-type tyrosine-protein phosphatase gamma-like",468,"GO:0006464;GO:0006520;GO:0016791"
"LOC111111969","XM_022449185.1","integrin alpha-8-like",1041,"GO:0005886;GO:0007155;GO:0032991"
"LOC111111970","XM_022449186.1","uncharacterized",1078,"GO:0003674"
"LOC111111971","XM_022449187.1","E3 ubiquitin-protein ligase TRIM36-like",405,"GO:0043167"
"LOC111111974","XM_022449194.1","uncharacterized",681.333333333333,"GO:0003674"
"LOC111111974","XM_022449195.1","uncharacterized",681.333333333333,"GO:0003674"
"LOC111111974","XM_022449196.1","uncharacterized",681.333333333333,"GO:0003674"
"LOC111111975","XM_022449202.1","uncharacterized",1751.4,"GO:0003674;GO:0005737"
"LOC111111975","XM_022449199.1","uncharacterized",1751.4,"GO:0003674;GO:0005737"
"LOC111111975","XM_022449201.1","uncharacterized",1751.4,"GO:0003674;GO:0005737"
"LOC111111975","XM_022449200.1","uncharacterized",1751.4,"GO:0003674;GO:0005737"
"LOC111111975","XM_022449198.1","uncharacterized",1751.4,"GO:0003674;GO:0005737"
"LOC111111976","XM_022449204.1","uncharacterized",1039,"GO:0003674;GO:0007165"
"LOC111111976","XM_022449203.1","uncharacterized",1039,"GO:0003674;GO:0007165"
"LOC111111977","XM_022449205.1","nuclear receptor ROR-beta-like",592,"GO:0003677;GO:0003700;GO:0005634;GO:0007165;GO:0009058;GO:0032991;GO:0034641;GO:0043167"
"LOC111111980","XM_022449208.1","multiple epidermal growth factor-like domains protein 10",415,"GO:0003674;GO:0005575;GO:0007165;GO:0016192"
"LOC111111980","XM_022449207.1","multiple epidermal growth factor-like domains protein 10",415,"GO:0003674;GO:0005575;GO:0007165;GO:0016192"
"LOC111111993","XM_022449227.1","uncharacterized",562,"GO:0043167"
"LOC111111997","XM_022449231.1","uncharacterized",987,"GO:0008219"
"LOC111111998","XM_022449235.1","splicing factor 3B subunit 1-like",1234.66666666667,"GO:0003729;GO:0006397;GO:0022618"
"LOC111111998","XM_022449232.1","splicing factor 3B subunit 1-like",1234.66666666667,"GO:0003729;GO:0006397;GO:0022618"
"LOC111111998","XM_022449233.1","splicing factor 3B subunit 1-like",1234.66666666667,"GO:0003729;GO:0006397;GO:0022618"
"LOC111111999","XM_022449236.1","uncharacterized",684,"GO:0003674;GO:0006464"
"LOC111112000","XM_022449237.1","tripartite motif-containing protein 45-like",305,"GO:0043167"
"LOC111112001","XM_022449239.1","uncharacterized",695,"GO:0043167"
"LOC111112001","XM_022449238.1","uncharacterized",695,"GO:0043167"
"LOC111112005","XM_022449242.1","GTPase IMAP family member 7-like",368,"GO:0043167"
"LOC111112008","XM_022449272.1","schlafen-like protein 1",365,"GO:0043167"
"LOC111112009","XM_022449286.1","probable G-protein coupled receptor 19",356,"GO:0003674;GO:0005575;GO:0007165"
"LOC111112011","XM_022449283.1","proteoglycan 4-like",1127.33333333333,"GO:0003674"
"LOC111112011","XM_022449285.1","proteoglycan 4-like",1127.33333333333,"GO:0003674"
"LOC111112011","XM_022449284.1","proteoglycan 4-like",1127.33333333333,"GO:0003674"
"LOC111112013","XM_022449288.1","cyclic GMP-AMP synthase-like",645.2,"GO:0003674"
"LOC111112013","XM_022449291.1","cyclic GMP-AMP synthase-like",645.2,"GO:0003674"
"LOC111112013","XM_022449290.1","cyclic GMP-AMP synthase-like",645.2,"GO:0003674"
"LOC111112013","XM_022449293.1","cyclic GMP-AMP synthase-like",645.2,"GO:0003674"
"LOC111112013","XM_022449289.1","cyclic GMP-AMP synthase-like",645.2,"GO:0003674"
"LOC111112016","XM_022449298.1","RNA-binding protein 45-like",558,"GO:0003674"
"LOC111112016","XM_022449299.1","RNA-binding protein 45-like",558,"GO:0003674"
"LOC111112017","XM_022449300.1","uncharacterized",377,"GO:0003674"
"LOC111112018","XM_022449302.1","uncharacterized",308,"GO:0003674"
"LOC111112019","XM_022449303.1","uncharacterized",259,"GO:0003674"
"LOC111112020","XM_022449304.1","uncharacterized",224,"GO:0003674"
"LOC111112021","XM_022449305.1","collagen alpha-1(X) chain-like",224,"GO:0003674"
"LOC111112022","XM_022449307.1","uncharacterized",221.5,"GO:0003674"
"LOC111112022","XM_022449306.1","uncharacterized",221.5,"GO:0003674"
"LOC111112024","XM_022449310.1","chromodomain-helicase-DNA-binding protein 1-like",967,"GO:0004386;GO:0005694;GO:0006259;GO:0006950;GO:0016887;GO:0043167;GO:0051276"
"LOC111112026","XM_022449309.1","uncharacterized",295,"GO:0005634;GO:0008219"
"LOC111112027","XM_022449311.1","uncharacterized",227,"GO:0003677;GO:0009058;GO:0034641"
"LOC111112028","XM_022449320.1","ras-associated and pleckstrin homology domains-containing protein 1-like",1301.5,"GO:0007165"
"LOC111112028","XM_022449316.1","ras-associated and pleckstrin homology domains-containing protein 1-like",1301.5,"GO:0007165"
"LOC111112028","XM_022449315.1","ras-associated and pleckstrin homology domains-containing protein 1-like",1301.5,"GO:0007165"
"LOC111112028","XM_022449317.1","ras-associated and pleckstrin homology domains-containing protein 1-like",1301.5,"GO:0007165"
"LOC111112028","XM_022449312.1","ras-associated and pleckstrin homology domains-containing protein 1-like",1301.5,"GO:0007165"
"LOC111112028","XM_022449314.1","ras-associated and pleckstrin homology domains-containing protein 1-like",1301.5,"GO:0007165"
"LOC111112028","XM_022449313.1","ras-associated and pleckstrin homology domains-containing protein 1-like",1301.5,"GO:0007165"
"LOC111112028","XM_022449318.1","ras-associated and pleckstrin homology domains-containing protein 1-like",1301.5,"GO:0007165"
"LOC111112028","XM_022449321.1","ras-associated and pleckstrin homology domains-containing protein 1-like",1301.5,"GO:0007165"
"LOC111112028","XM_022449319.1","ras-associated and pleckstrin homology domains-containing protein 1-like",1301.5,"GO:0007165"
"LOC111112029","XM_022449333.1","CCR4-NOT transcription complex subunit 11-like",459.5,"GO:0005622;GO:0032991"
"LOC111112029","XM_022449325.1","CCR4-NOT transcription complex subunit 11-like",459.5,"GO:0005622;GO:0032991"
"LOC111112031","XM_022449324.1","ras-specific guanine nucleotide-releasing factor 2-like",1496,"GO:0005622;GO:0007165;GO:0019899"
"LOC111112032","XM_022449327.1","zinc finger BED domain-containing protein 1-like",644,"GO:0003677"
"LOC111112032","XM_022449326.1","zinc finger BED domain-containing protein 1-like",644,"GO:0003677"
"LOC111112034","XM_022449329.1","uncharacterized",558.5,"GO:0003674;GO:0005575;GO:0007165"
"LOC111112034","XM_022449328.1","uncharacterized",558.5,"GO:0003674;GO:0005575;GO:0007165"
"LOC111112035","XM_022449330.1","NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial-like",729,"GO:0005575;GO:0006091;GO:0009058;GO:0016491;GO:0044281;GO:0051186;GO:0055085"
"LOC111112036","XM_022449332.1","uncharacterized",562.5,"GO:0043167"
"LOC111112036","XM_022449331.1","uncharacterized",562.5,"GO:0043167"
"LOC111112037","XM_022449334.1","uncharacterized",559.666666666667,"GO:0043167"
"LOC111112037","XM_022449336.1","uncharacterized",559.666666666667,"GO:0043167"
"LOC111112037","XM_022449335.1","uncharacterized",559.666666666667,"GO:0043167"
"LOC111112038","XM_022449337.1","uncharacterized",562,"GO:0043167"
"LOC111112039","XM_022449338.1","E3 ubiquitin-protein ligase TRIM71-like",557,"GO:0043167"
"LOC111112040","XM_022449340.1","uncharacterized",557,"GO:0043167"
"LOC111112040","XM_022449339.1","uncharacterized",557,"GO:0043167"
"LOC111112041","XM_022449341.1","tripartite motif-containing protein 3-like",557,"GO:0043167"
"LOC111112043","XM_022449342.1","uncharacterized",539,"GO:0043167"
"LOC111112044","XM_022449343.1","zinc finger protein 664-like",462,"GO:0003674"
"LOC111112045","XM_022449344.1","leucine-rich repeat flightless-interacting protein 2-like",392,"GO:0009058;GO:0034641"
"LOC111112048","XM_022449348.1","elongation factor 1-beta-like",219,"GO:0005840;GO:0008135"
"LOC111112049","XM_022449349.1","uncharacterized",208,"GO:0005576;GO:0007155;GO:0043167"
"LOC111112058","XM_022449354.1","uncharacterized",655,"GO:0003674"
"LOC111112059","XM_022449355.1","receptor-type tyrosine-protein phosphatase epsilon-like",1126,"GO:0006464;GO:0006520;GO:0016791"
"LOC111112060","XM_022449359.1","transcription elongation factor B polypeptide 3-like",857,"GO:0005654;GO:0009058;GO:0032991;GO:0034641"
"LOC111112061","XM_022449356.1","receptor-type tyrosine-protein phosphatase alpha-like",674,"GO:0006464;GO:0006520;GO:0016791"
"LOC111112075","XM_022449374.1","uncharacterized",1147,"GO:0003674;GO:0007165"
"LOC111112078","XM_022449379.1","N-lysine methyltransferase KMT5A-A-like",225,"GO:0003674"
"LOC111112080","XM_022449382.1","E3 ubiquitin-protein ligase TRIM9-like",523.833333333333,"GO:0043167"
"LOC111112080","XM_022449385.1","E3 ubiquitin-protein ligase TRIM9-like",523.833333333333,"GO:0043167"
"LOC111112080","XM_022449386.1","E3 ubiquitin-protein ligase TRIM9-like",523.833333333333,"GO:0043167"
"LOC111112080","XM_022449383.1","E3 ubiquitin-protein ligase TRIM9-like",523.833333333333,"GO:0043167"
"LOC111112080","XM_022449384.1","E3 ubiquitin-protein ligase TRIM9-like",523.833333333333,"GO:0043167"
"LOC111112080","XM_022449381.1","E3 ubiquitin-protein ligase TRIM9-like",523.833333333333,"GO:0043167"
"LOC111112084","XM_022449389.1","serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C-like",1678,"GO:0003674"
"LOC111112088","XM_022449396.1","tripartite motif-containing protein 3-like",582,"GO:0043167"
"LOC111112092","XM_022449398.1","calcitonin gene-related peptide type 1 receptor-like",160,"GO:0003674;GO:0005575;GO:0007165"
"LOC111112095","XM_022458271.1","potassium voltage-gated channel subfamily KQT member 1-like",850,"GO:0005886;GO:0022857;GO:0032991"
"LOC111112095","XM_022457488.1","potassium voltage-gated channel subfamily KQT member 1-like",850,"GO:0005886;GO:0022857;GO:0032991"
"LOC111112095","XM_022453198.1","potassium voltage-gated channel subfamily KQT member 1-like",850,"GO:0005886;GO:0022857;GO:0032991"
"LOC111112096","XM_022449785.1","sorting nexin-17-like",441,"GO:0006810;GO:0008289;GO:0043167"
"LOC111112099","XM_022449413.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0005198;GO:0007165"
"LOC111112099","XM_022449413.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0007165"
"LOC111112099","XM_022449413.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0005622;GO:0007165;GO:0008092"
"LOC111112099","XM_022449418.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0005198;GO:0007165"
"LOC111112099","XM_022449418.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0007165"
"LOC111112099","XM_022449418.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0005622;GO:0007165;GO:0008092"
"LOC111112099","XM_022449412.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0005198;GO:0007165"
"LOC111112099","XM_022449412.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0007165"
"LOC111112099","XM_022449412.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0005622;GO:0007165;GO:0008092"
"LOC111112099","XM_022449420.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0005198;GO:0007165"
"LOC111112099","XM_022449420.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0007165"
"LOC111112099","XM_022449420.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0005622;GO:0007165;GO:0008092"
"LOC111112099","XM_022449423.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0005198;GO:0007165"
"LOC111112099","XM_022449423.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0007165"
"LOC111112099","XM_022449423.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0005622;GO:0007165;GO:0008092"
"LOC111112099","XM_022449417.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0005198;GO:0007165"
"LOC111112099","XM_022449417.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0007165"
"LOC111112099","XM_022449417.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0005622;GO:0007165;GO:0008092"
"LOC111112099","XM_022449415.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0005198;GO:0007165"
"LOC111112099","XM_022449415.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0007165"
"LOC111112099","XM_022449415.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0005622;GO:0007165;GO:0008092"
"LOC111112099","XM_022449408.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0005198;GO:0007165"
"LOC111112099","XM_022449408.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0007165"
"LOC111112099","XM_022449408.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0005622;GO:0007165;GO:0008092"
"LOC111112099","XM_022449411.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0005198;GO:0007165"
"LOC111112099","XM_022449411.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0007165"
"LOC111112099","XM_022449411.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0005622;GO:0007165;GO:0008092"
"LOC111112099","XM_022449419.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0005198;GO:0007165"
"LOC111112099","XM_022449419.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0007165"
"LOC111112099","XM_022449419.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0005622;GO:0007165;GO:0008092"
"LOC111112099","XM_022449409.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0005198;GO:0007165"
"LOC111112099","XM_022449409.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0007165"
"LOC111112099","XM_022449409.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0005622;GO:0007165;GO:0008092"
"LOC111112099","XM_022449426.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0005198;GO:0007165"
"LOC111112099","XM_022449426.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0007165"
"LOC111112099","XM_022449426.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0005622;GO:0007165;GO:0008092"
"LOC111112099","XM_022449410.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0005198;GO:0007165"
"LOC111112099","XM_022449410.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0007165"
"LOC111112099","XM_022449410.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0005622;GO:0007165;GO:0008092"
"LOC111112099","XM_022449421.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0005198;GO:0007165"
"LOC111112099","XM_022449421.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0007165"
"LOC111112099","XM_022449421.1","A-kinase anchor protein 9-like",5191.94444444444,"GO:0003677;GO:0005198;GO:0005622;GO:0007165;GO:0008092"
